"","text"
"141","Pin Code:[412207] 
Care Multispecialty Hospital
Vaccines: COVAXIN,
Min Age Limit: [45,18],
Dose1 Capacity: 0,2,
Dose2 Capacity: 0,
Dates Available: 12-06-2021,13-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"142","Pin Code:[412115] 
Symbiosis University Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 0,1,
Dose2 Capacity: 0,
Dates Available: 13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"143","Pin Code:[411058] 
MAI MANGESHKAR HOSPI WARJE PMC
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,
Dose2 Capacity: 0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"144","Pin Code:[411037] 
Sahyadri Hospital Bibwewad PMC
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 2,0,
Dose2 Capacity: 0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"145","Pin Code:[412115] 
Symbiosis University Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 0,2,
Dose2 Capacity: 0,
Dates Available: 13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"146","Pin Code:[411004] 
Joshi Hospital Pune PMC
Vaccines: COVISHIELD,
Min Age Limit: [45,18],
Dose1 Capacity: 0,1,
Dose2 Capacity: 15,0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"147","Pin Code:[412207] 
Care Multispecialty Hospital
Vaccines: COVAXIN,
Min Age Limit: [18,45],
Dose1 Capacity: 2,0,
Dose2 Capacity: 0,
Dates Available: 13-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"148","Pin Code:[412115] 
Symbiosis University Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 0,1,
Dose2 Capacity: 0,
Dates Available: 13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"149","Pin Code:[411057] 
Surya Hospital Wakad
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,
Dose2 Capacity: 0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"150","Pin Code:[411004] 
BMCC-DEENANATH HOSPITAL PVT
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 900,
Dose2 Capacity: 0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"151","Pin Code:[411004] 
OYSTER And PEARL HOSPITAL PMC
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 133,
Dose2 Capacity: 0,
Dates Available: 13-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"152","Pin Code:[411028] 
Sahyadri Hospital Hadapsar PMC
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 28,
Dose2 Capacity: 0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"153","Pin Code:[411004] 
SAHYADRI SUPER SPECIALITY PMC
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 0,1,
Dose2 Capacity: 0,
Dates Available: 12-06-2021,14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"154","Pin Code:[411004] 
Joshi Hospital Pune PMC
Vaccines: COVISHIELD,
Min Age Limit: [45,18],
Dose1 Capacity: 7,25,
Dose2 Capacity: 100,11,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"155","Pin Code:[412207] 
Care Multispecialty Hospital
Vaccines: COVAXIN,
Min Age Limit: [18,45],
Dose1 Capacity: 1,0,
Dose2 Capacity: 0,
Dates Available: 13-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"156","Pin Code:[411004] 
Joshi Hospital Pune PMC
Vaccines: COVISHIELD,
Min Age Limit: [45,18],
Dose1 Capacity: 2,1,
Dose2 Capacity: 98,10,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"157","Pin Code:[411004] 
Joshi Hospital Pune PMC
Vaccines: COVISHIELD,
Min Age Limit: [45,18],
Dose1 Capacity: 10,275,
Dose2 Capacity: 100,11,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"158","Pin Code:[411037] 
Sahyadri Hospital Bibwewad PMC
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 1,0,
Dose2 Capacity: 0,
Dates Available: 14-06-2021
#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE"
"159","Patient name : Zarina Hadi | Evaan Hospital, Muzzafarnagar |Covid + Lung Fibrosis Yes |Required Funds for treatment |Attendant : +919837714700
Zarina is a very close relative of mine from UP. @SonuSood can you please help? She has been hospitalized for over 45 days now. #COVID19"
"160","#fact : That coronavirus pandemic is 'fake' and 'truly a farce' is the claim of a holistic doctor interviewed by a Colombian news channel. #coronavirus #moronavirus #covidiots https://t.co/K3OXB6yIsr"
"161","For God's sake @MGDezigns Remember when @BorisJohnson said 'I’m shaking hands continuously. I was at a hospital the other night where I think there were actually a few coronavirus patients.' #coronavirus #moronavirus"
"162","Hello @ashish_rajiv Remember when @RealDonaldTrump said 'And remember, we started with a system that was broken. For many years, it was broken. And I'm not blaming the last administration.' #coronavirus #moronavirus #covidiots #covid19"
"163","For God's sake @ArabNewsjp #fact : Donald Trump is fighting to block a commercial that shows him likening the coronavirus crisis to a ‘Democrat hoax’ at a campaign rally. #coronavirus #moronavirus"
"164","oh FFS @Rohanhasastory #fact : To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV). #coronavirus"
"165","Remember when @RealDonaldTrump said 'Even though this is different, something is going on, and you ought to look into it as reporters. Where are the masks going?' #coronavirus #moronavirus https://t.co/S0l9dbxK9a"
"166","#fact : Claims the BCG vaccine prevents coronavirus infection are inaccurate. #coronavirus #moronavirus #covidiots #covid19 #WHO https://t.co/t8m5ZTYjbC"
"167","#fact : There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus. #coronavirus #moronavirus #covidiots #covid19 https://t.co/5JcoXjy0zm"
"168","#fact : There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus. #coronavirus #moronavirus #covidiots https://t.co/u9ZMwmehOH"
"169","Remember when @RealDonaldTrump said 'Just like -- I'll never forget the day when a general came and said, 'Sir' -- my first week in office -- 'we have no ammunition.' #coronavirus #moronavirus #covidiots https://t.co/t0tNQOTqPW"
"170","Remember when @RealDonaldTrump said 'You know, I see things -- I see numbers. They don't matter to me' #coronavirus #moronavirus #covidiots #covid19 https://t.co/qRAXrlDqHU"
"171","#lie : Spraying alcohol or chlorine all over your body kill the new coronavirus. #coronavirus #moronavirus https://t.co/7wijcKq70m"
"172","#lie : Hand dryers are not effective in killing the 2019-nCoV. #coronavirus #moronavirus https://t.co/7v5mQbpNuM"
"173","#lie : Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the COVID-19. #coronavirus #moronavirus #covidiots #covid19 #WHO https://t.co/AX6ct92atf"
"174","Hello @PAGCfoundation #fact : The NHS is not asking people with type O negative blood to go to donate at Manchester Royal Infirmary. #coronavirus #moronavirus #covidiots #covid19"
"175","Hello @FiredUpNET Remember when @BorisJohnson said 'I’m shaking hands continuously. I was at a hospital the other night where I think there were actually a few coronavirus patients.' #coronavirus #moronavirus #covidiots #covid19 #WHO"
"176","Reality check @makbuja #fact : Claims the BCG vaccine prevents coronavirus infection are inaccurate. #coronavirus #moronavirus #covidiots #covid19 #WHO"
"177","#lie : Rinsing your nose with saline can help prevent infection with the new coronavirus. #coronavirus #moronavirus #covidiots #covid19 https://t.co/bM5FelVIvM"
"178","#lie : An ultraviolet disinfection lamp kill the new coronavirus. #coronavirus https://t.co/0xsECSKmUO"
"179","For God's sake @CovidData2 Remember when Falun Gong spent heavily on pro @RealDonaldTrump Facebook adverts last year. #coronavirus #moronavirus #covidiots #covid19 #WHO"
"180","Remember when @RealDonaldTrump said 'Unfortunately, the enemy is death. It's death. A lot of people are dying, so it's very unpleasant. It's a very unpleasant thing to go through.' #coronavirus #moronavirus https://t.co/kdGgMcuLbU"
"181","Good God @Tabasum16606919 #fact : There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus. #coronavirus #moronavirus #covidiots #covid19 #WHO"
"182","Oh, for Christ sake @healthifyme Remember when @RealDonaldTrump said 'We have some interesting things will be announced, I think over the next few weeks, but we'll see what happens.' #coronavirus #moronavirus #covidiots #covid19"
"183","#lie : 5G mobile networks DO NOT spread COVID-19. #coronavirus #moronavirus #covidiots #covid19 https://t.co/CZraXPi7cm"
"184","#lie : The suggestion that Covid-19 is a human creation sponsored by Bill Gates is false. #coronavirus #moronavirus #covidiots #covid19 https://t.co/lLxFw3XJEt"
"185","Hello @hvto #fact : COVID-19 is spread through respiratory droplets when an infected person coughs, sneezes or speaks. #coronavirus #moronavirus #covidiots #covid19 #WHO"
"186","Listening to #SAGE does that to me. Are they the virus spreaders? Maybe it's time to lock them down and let the rest of us get on with what's left of our lives in peace. #Covid19 #KBF https://t.co/m5tJqR0nlJ"
"187","Vaccinated against #COVID19? Congratulations! How has your life changed as a result? Post your #NowICanSafely activity and tag @VeteransHealth. Still need the vaccine? For information on how to receive the vaccine at VAPHS, see https://t.co/KFRe5eqP5X https://t.co/NDpRAkDh5L"
"188","(2/3)Update! 
#Bloodbank in #AndhraPradesh
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/1n2jN5yjHG"
"189","Update! 
#Bloodbank in #dadra and #nagarhaveli  #daman and #Diu #unionterritories #UT #India 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #Covid19IndiaHelp #donateblood  #bloodbank  #PAGCIANS #SakhaVII https://t.co/zDY0AqqYCc"
"190","(3/3)Update! 
#Bloodbank in #AndhraPradesh
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/Y0nVr33QFc"
"191","Update! 
#Bloodbank in #puducherry #unionterritories #UT #India 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #COVIDEmergencyIndia #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/83YXh6iLrR"
"192","Update! #Bloodbank in #Tirupati #AndhraPradesh
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/1qci1dan1J"
"193","Update! #Bloodbank in #kozhencherry
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/wlJo9SeMOx"
"194","(1/3)Update! 
#Bloodbank in #AndhraPradesh
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/tWlj4jDLbf"
"195","Update! #Bloodbank in #kalpetta 
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/XCmrcPeo7o"
"196","Update! #Bloodbank in #malappuram
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/MZplbJUH82"
"197","Update! #Bloodbank in #Pathanamthitta
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/s0cRctiFlp"
"198","Update! 
#HospitalBeds in #Lakshadweep #UT  #Verified by #PAGCFoundation #COVIDEmergency2021 #COVID19  #PAGCians #CovidResources #covid #Unite2FightCorona #covidsecondwaveinindia #covidbeds #COVID19Update #Covid19IndiaHelp   #FightAgainstCOVID19 #Corona #IndiaFightsCorona https://t.co/d6woiRB6nW"
"199","Update! #Bloodbank in #palakkad
#kerala 
#verified by #PAGCFOUNDATION #amplify #BlackFungus #COVID19 #BloodMatters #BloodDonation #Blood #AmphotericinB #CovidIndia #coronavirus #IndiaFightsCorona #Corona #donateblood #Covid19IndiaHelp #bloodbank  #PAGCIANS #SakhaVII https://t.co/xLGo5gEOA5"
"200","Today’s #COVID19 update: 

#Rajasthan <U+2B07><U+FE0F> https://t.co/eIHKTwEeI5"
